[17:18:33] {Imputation.py:11} INFO - Reading the data

         ctrl.1     ctrl.2     ctrl.3     kout.1     kout.2     kout.3
0     25.495032  26.226134  25.696122  25.158000  25.801144  25.974257
1     32.432286  32.281099  32.305630  32.709666  32.657616  32.638734
2     31.099802  30.957954  31.130075  30.530179  30.719471  30.756368
3           NaN  23.817436        NaN  23.878580  23.808920        NaN
4           NaN        NaN  23.769814  24.153214  24.975744  24.086913
5     30.312571  30.145645  30.121393  31.085817  30.981893  30.963201
6           NaN        NaN  25.449443        NaN  22.664229  23.780166
7     27.429819  26.534379  27.496861  26.525804  28.224534  27.113069
8     30.359405  30.172002  29.985902  30.904835  30.903471  31.017705
9     26.634918  27.232241  26.958147  27.436189  27.469641  27.478000
10    26.907359  27.361603  27.821346  26.980655  27.089017  27.026544
11    30.717103  30.909349  30.782693  31.279799  31.206587  31.187600
12    24.736603  23.904169        NaN  23.693067  23.613805  23.620532
13    29.567758  29.691856  29.547437  29.589334  29.729457  29.815617
14    28.900466  29.433127  29.088385  29.386587  29.640221  29.556675
15    24.273768  23.812940  23.700388  24.816166  24.438475  23.937507
16    27.804828  28.258762  28.245585  27.906786  28.086387  28.151560
17          NaN  23.419312  23.602409  23.278951  24.319138  24.080177
18    27.759007  27.052998  26.750342  26.271793  26.102976  26.312160
19    24.670607        NaN  25.990902  23.944584  24.127231  23.844889
20    30.324959  29.860590  30.336816  29.034856  29.032888  29.660696
21          NaN        NaN        NaN        NaN  24.805775        NaN
22    28.213777  26.311519  27.886463  24.290879  24.212080  24.676537
23    29.890165  29.819566  29.821544  30.211411  30.169973  30.157619
24    29.104721  29.450261  29.045701  29.320361  29.418906  29.186267
25    23.523846  24.222435  23.360113  22.545784  23.073361        NaN
26    24.065132  23.793822        NaN        NaN        NaN        NaN
27    32.079823  31.660594  31.554718  31.923480  32.040322  32.031968
28    31.926841  29.669002  30.312354  30.199643  30.146616  30.322812
29    30.441838  30.133692  30.293951  30.285157  30.003567  30.183524
30    25.833015  25.743887  26.009452  24.797784  25.482438  25.463449
31    26.416367  26.631870  26.703850  26.221237  25.908986        NaN
32    25.927008  26.978147  26.224553  25.784791  25.189107  25.834125
33    28.713354  28.649793  28.342062  27.175599  27.045519  26.663295
34    25.905639  25.875912  25.793598  26.256469  26.141197  26.312471
35    23.469362  23.964022  23.553445  24.019371  23.968072        NaN
36    25.855977        NaN  25.524504  25.187183  24.894858  24.994985
37    31.667125  31.470340  31.655571  31.680223  31.738722  31.713625
